input,output
0.5412505927135635,0.0
0.5412505927135635,0.1082501185427127
0.5412505927135635,0.19485021337688285
0.5412505927135635,0.264130289244219
0.5412505927135635,0.3195543499380879
0.5412505927135635,0.36389359849318303
0.5412505927135635,0.39936499733725916
0.5412505927135635,0.4277421164125201
0.5412505927135635,0.4504438116727288
0.5412505927135635,0.4686051678808958
0.5412505927135635,0.4831342528474294
0.5412505927135635,0.49475752082065627
0.5412505927135635,0.5040561351992378
0.5412505927135635,0.5114950267021029
0.5412505927135635,0.517446139904395
0.5412505927135635,0.5222070304662287
0.5412505927135635,0.5260157429156957
0.5412505927135635,0.5290627128752693
0.5412505927135635,0.5315002888429281
0.5412505927135635,0.5334503496170552
0.5412505927135635,0.5350103982363569
0.5412505927135635,0.5362584371317982
0.5412505927135635,0.5372568682481513
0.5412505927135635,0.5380556131412337
0.5412505927135635,0.5386946090556997
0.5412505927135635,0.5392058057872724
0.5412505927135635,0.5396147631725307
0.5412505927135635,0.5399419290807372
0.5412505927135635,0.5402036618073025
0.5412505927135635,0.5404130479885547
0.5412505927135635,0.5405805569335564
0.5412505927135635,0.5407145640895579
0.5412505927135635,0.540821769814359
0.5412505927135635,0.5409075343941999
0.5412505927135635,0.5409761460580726
0.5412505927135635,0.5410310353891709
0.5412505927135635,0.5410749468540494
0.5412505927135635,0.5411100760259523
0.5412505927135635,0.5411381793634745
0.5412505927135635,0.5411606620334923
0.5412505927135635,0.5411786481695066
0.5412505927135635,0.541193037078318
0.5412505927135635,0.5412045482053671
0.5412505927135635,0.5412137571070064
0.5412505927135635,0.5412211242283178
0.5412505927135635,0.541227017925367
0.5412505927135635,0.5412317328830063
0.5412505927135635,0.5412355048491178
0.5412505927135635,0.5412385224220069
0.5412505927135635,0.5412409364803182
0.9465007434550518,0.5412428677269673
0.9465007434550518,0.6222944428725843
0.9465007434550518,0.6871357029890779
0.9465007434550518,0.7390087110822727
0.9465007434550518,0.7805071175568286
0.9465007434550518,0.8137058427364732
0.9465007434550518,0.840264822880189
0.9465007434550518,0.8615120069951616
0.9465007434550518,0.8785097542871396
0.9465007434550518,0.892107952120722
0.9465007434550518,0.902986510387588
0.9465007434550518,0.9116893570010809
0.9465007434550518,0.9186516342918751
0.9465007434550518,0.9242214561245106
0.9465007434550518,0.9286773135906188
0.9465007434550518,0.9322419995635054
0.9465007434550518,0.9350937483418147
0.9465007434550518,0.9373751473644623
0.9465007434550518,0.9392002665825803
0.9465007434550518,0.9406603619570746
0.9465007434550518,0.9418284382566702
0.9465007434550518,0.9427628992963466
0.9465007434550518,0.9435104681280877
0.9465007434550518,0.9441085231934805
0.9465007434550518,0.9445869672457947
0.9465007434550518,0.9449697224876461
0.9465007434550518,0.9452759266811273
0.9465007434550518,0.9455208900359122
0.9465007434550518,0.9457168607197401
0.9465007434550518,0.9458736372668026
0.9465007434550518,0.9459990585044524
0.9465007434550518,0.9460993954945724
0.9465007434550518,0.9461796650866683
0.9465007434550518,0.946243880760345
0.9465007434550518,0.9462952532992865
0.9465007434550518,0.9463363513304397
0.9465007434550518,0.9463692297553621
0.9465007434550518,0.9463955324953002
0.9465007434550518,0.9464165746872506
0.9465007434550518,0.9464334084408108
0.9465007434550518,0.946446875443659
0.9465007434550518,0.9464576490459375
0.9465007434550518,0.9464662679277605
0.9465007434550518,0.9464731630332188
0.9465007434550518,0.9464786791175854
0.9465007434550518,0.9464830919850789
0.9465007434550518,0.9464866222790735
0.9465007434550518,0.9464894465142693
0.9465007434550518,0.9464917059024258
0.9465007434550518,0.9464935134129511
